# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_OPE_bounds.py.
n_value,g,C2_lower,C2_upper
1,0.01,0.00019989164949136534,0.00019989165049449868
1,0.02,0.0007982690201128311,0.0007982690649925251
1,0.03,0.0017912591341553387,0.0017912594697323421
1,0.04,0.0031724728902359873,0.0031724740717203074
1,0.05,0.004933102405601837,0.004933105645390335
1,0.06,0.007062055100638843,0.007062062646932635
1,0.07,0.009546121335401284,0.009546136952720765
1,0.08,0.012370171618742066,0.012370201110686877
1,0.09,0.015517378037097558,0.015517429749391909
1,0.1,0.01896945345284759,0.018969538685730248
1,0.11,0.02270690123029626,0.022707034490755052
1,0.12,0.02670926792655358,0.02670946696241794
1,0.13,0.03095539161792235,0.030955677195597945
1,0.14,0.035423639319131166,0.035424034731939634
1,0.15,0.04009212821034379,0.04009265853166003
1,0.16,0.04493892696801741,0.04493961808931284
1,0.17,0.049942235215146555,0.04994311096780841
1,0.18,0.05508054077113165,0.05508157718205624
1,0.19,0.06033275581827961,0.060333964424052956
1,0.2,0.06567833417909517,0.06567972454082963
1,0.21,0.07109737253919221,0.07109895182920577
1,0.22,0.07657069863741296,0.07657247127270236
1,0.23,0.08207994921615765,0.08208190804722676
1,0.24,0.08760763996550382,0.08760976242013195
1,0.25,0.09313722892010334,0.0931395043124261
1,0.3,0.12030732633878952,0.12031014743459026
1,0.35,0.14566463629731852,0.14566753598492785
1,0.4,0.1683875296929466,0.16839012011351914
1,0.45,0.18825340840162527,0.18825548066399064
1,0.5,0.20542293281026727,0.20542452480616163
1,0.55,0.2202295575982213,0.22023075384509305
1,0.6,0.23304128225819354,0.23304218062102353
1,0.65,0.24419463045002363,0.2441952789352011
1,0.7,0.25397339621483106,0.25397386914932063
1,0.75,0.26260874533452644,0.2626090957483445
1,0.8,0.27028660366304624,0.2702868674728868
1,0.85,0.27715634864041205,0.27715655031061487
1,0.9,0.28333855472343317,0.2833387111048736
1,0.95,0.2889312571395682,0.28893138000423535
1,1.0,0.2940148249049104,0.2940149226024018
1,1.05,0.29865569920940627,0.2986557777520855
1,1.1,0.30290925545293235,0.3029093192334352
1,1.145,0.3068220028432979,0.30682205511503485
1,1.2,0.3104332863037794,0.3104333295073107
1,1.25,0.3137766138833624,0.3137766498713073
1,1.3,0.3168807008394648,0.31688073103369235
1,1.35,0.31977029780064625,0.3197703233036296
1,1.4,0.3224668530423707,0.3224668747170854
1,1.45,0.32498904624976965,0.3249890647777162
1,1.5,0.3273532218969442,0.327353237820762
1,1.55,0.32957374358560587,0.3295737573407045
1,1.6,0.3316632856690108,0.33166329760728447
1,1.65,0.3336330747502171,0.3336330851579894
1,1.7,0.33549309083803003,0.3354930999497541
1,1.75,0.33725223582076774,0.33725224382957125
1,1.8,0.33891847529862007,0.33891848236448613
1,1.85,0.34049895857095586,0.3404989648271163
1,1.9,0.3420001206116524,0.342000126169619
1,1.95,0.3434277691146389,0.34342777406818886
1,2.0,0.34478715910261754,0.3447871635309699
1,2.045,0.34608305712657994,0.3460830610969427
1,2.1,0.34731979671400415,0.3473198002836279
1,2.15,0.34850132642812925,0.3485013296459718
1,2.2,0.34963125166325515,0.3496312545713377
1,2.25,0.35071287110919125,0.35071287374370885
1,2.295,0.35174920866223286,0.3517492110544674
1,2.35,0.3527430414329835,0.35274304361005804
1,2.4,0.35369692439720746,0.35369692638271194
1,2.45,0.3546132121501751,0.3546132139646874
1,2.5,0.35549407815410516,0.355494079815627
1,2.545,0.35634153180949824,0.35634153333382046
1,2.6,0.35715743363215674,0.3571574350331676
1,2.65,0.35794350877671555,0.35794351006666075
1,2.7,0.35870135911312034,0.3587013603028235
1,2.75,0.35943247403353856,0.3594324751325891
1,2.8,0.3601382401427265,0.3601382411596392
1,2.85,0.36081994996414624,0.36081995090649865
1,2.9,0.36147880977650604,0.3614788106510557
1,2.95,0.3621159466803743,0.3621159474931597
1,3.0,0.36273241498167447,0.36273241573810233
1,3.05,0.36332920196786,0.3633292026727806
1,3.1,0.36390723314310364,0.3639072338008763
1,3.15,0.3644673769806841,0.3644673775952338
1,3.2,0.3650104492437088,0.36501044981857583
1,3.25,0.365537216919215,0.36553721745759793
1,3.3,0.3660484018063218,0.36604840231110647
1,3.35,0.36654468378848043,0.3665446842622957
1,3.4,0.36702670383274555,0.36702670427797274
1,3.45,0.3674950667290996,0.36749506714790375
