# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
1,0.0,1.0
1,0.01,1.000399840006861
1,0.02,1.0015974404545742
1,0.03,1.0035870454675615
1,0.04,1.006359072951957
1,0.05,1.0099001363487319
1,0.06,1.0141930846833038
1,0.07,1.019217068758186
1,0.08,1.0249476414331353
1,0.09,1.031356898955546
1,0.1,1.0384136684363003
1,0.11,1.0460837441055701
1,0.12,1.0543301722572385
1,0.13,1.0631135821055595
1,0.14,1.07239255737636
1,0.15,1.0821240414977842
1,0.16,1.092263767819931
1,0.17,1.1027667053877603
1,0.18,1.1135875103790718
1,0.19,1.1246809733356324
1,0.2,1.1360024526900792
1,0.21,1.1475082857584424
1,0.22,1.1591561692730021
1,0.23,1.1709055026280741
1,0.24,1.182717688264565
1,0.25,1.194556384991691
1,0.3,1.2530549113816338
1,0.35,1.3082783823446513
1,0.4,1.358591986304309
1,0.45,1.4035518429315497
1,0.5,1.4433982335776059
1,0.55,1.478664714258782
1,0.6,1.5099521449902227
1,0.65,1.5378250643817144
1,0.7,1.5627761867475116
1,0.75,1.5852221272680695
1,0.8,1.6055109104355365
1,0.85,1.6239325260075712
1,0.9,1.640729128884538
1,0.95,1.6561038170291318
1,1.0,1.6702278422433325
1,1.05,1.6832464221098735
1,1.1,1.6952833950159234
1,1.15,1.7064449483054873
1,1.2,1.716822613282566
1,1.25,1.7264956823860294
1,1.3,1.7355331704768693
1,1.35,1.743995415201448
1,1.4,1.751935390270345
1,1.45,1.7593997891754938
1,1.5,1.7664299243244879
1,1.55,1.7730624769285492
1,1.6,1.7793301255501208
1,1.65,1.7852620754675648
1,1.7,1.7908845065462902
1,1.75,1.796220953814921
1,1.8,1.8012926322035496
1,1.85,1.8061187147364859
1,1.9,1.8107165717537332
1,1.95,1.8151019773645702
1,2.0,1.819289288237336
1,2.05,1.823291598943685
1,2.1,1.8271208773583756
1,2.15,1.830788083032286
1,2.2,1.8343032709797955
1,2.25,1.8376756829306444
1,2.3,1.8409138277742867
1,2.35,1.8440255526583311
1,2.4,1.84701810598149
1,2.45,1.8498981933371488
1,2.5,1.8526720273095538
1,2.55,1.8553453718953021
1,2.6,1.8579235822139488
1,2.65,1.860411640079622
1,2.7,1.8628141859276526
1,2.75,1.8651355475240663
1,2.8,1.8673797658294118
1,2.85,1.869550618340239
1,2.9,1.871651640190277
1,2.95,1.87368614325793
1,3.0,1.8756572334962007
1,3.05,1.8775678266748077
1,3.1,1.8794206627014944
1,3.15,1.8812183186697617
1,3.2,1.8829632207630986
1,3.25,1.8846576551308343
1,3.3,1.8863037778381666
1,3.35,1.8879036239783806
1,3.4,1.8894591160340788
1,3.45,1.8909720715517102
1,3.5,1.8924442101995116
1,3.55,1.8938771602610285
1,3.6,1.895272464623288
1,3.65,1.8966315862967091
1,3.7,1.8979559135143809
1,3.75,1.899246764445468
1,3.8,1.9005053915570203
1,3.85,1.9017329856541298
