g,fitted_C1,lower_C1,upper_C1,fitted_C2,lower_C2,upper_C2,fitted_C3,lower_C3,upper_C3,pinn_C1,pinn_C2,pinn_C3
0.01,0.00021545050747819313,0.0001998916494913,0.0001998916504944,0.07460314558016352,0.0,0.1998587319351049,0.08810150430646105,0.0,0.2002142163480463,0.00012075786215841631,0.5467341542107164,2.2309402240729056e-05
0.02,0.0008600870153637342,0.0007982690201128,0.0007982690649925,0.08306787266935504,0.0436581370947865,0.1994193921215718,0.07957529985064017,0.0,0.1568822292436444,0.0004365600154692098,0.5685155559139904,2.0858246583334564e-05
0.03,0.0019322364478879506,0.0017912591341553,0.0017912594697323,0.0857599655795425,0.0667209013644203,0.1781821736633513,0.07523560456459837,0.0207903220294475,0.134123328413573,0.0013013868011533026,0.43921638029185506,2.2629950547776846e-05
0.04,0.00342765114986382,0.0031724728902359,0.0031724740717203,0.08714314021517253,0.0749647455298426,0.1479285711227549,0.07161863711849777,0.0511208045781928,0.126293270537847,0.0027849920820240885,0.3231762605069265,2.8153965286939973e-05
0.05,0.00533928826328509,0.0049331024056018,0.0049331056453903,0.0878401720558109,0.0789528086193414,0.1338570161267967,0.06843484901287693,0.0652843823931058,0.122817935579427,0.0048078561027787335,0.24234655399569363,3.571772542046896e-05
0.06,0.007657121165430924,0.0070620551006388,0.0070620626469326,0.08811954873894863,0.0812809983802843,0.1261319898539288,0.06555682836515787,0.0731119029139865,0.1210881593749898,0.007265618705424708,0.19763089168709067,4.3843107862249074e-05
0.07,0.01036837040067464,0.0095461213354012,0.0095461369527207,0.0881368949491978,0.0828283771073776,0.1213791479231597,0.06290722390696388,0.0779724650833798,0.1202099060249376,0.010085558141338321,0.17465254282861614,5.1963573855503166e-05
0.08,0.013456809864137005,0.012370171618742,0.0123702011106868,0.0879758363237657,0.0839524013319331,0.1181849745293275,0.06045298445903978,0.0812740025325618,0.1198096249964098,0.013236177792799918,0.16272661043078676,6.006628278826804e-05
0.09,0.016905255244032965,0.0155173780370975,0.0155174297493919,0.08770702195401353,0.0848150991135529,0.1158705962500598,0.0581689792755126,0.0836897170715507,0.1197086731297352,0.016701969642314164,0.15646928833580961,6.82612711631946e-05
0.1,0.0206920591209339,0.0189694534528475,0.0189695386857302,0.08737717834405342,0.0854942724958385,0.1140753821769088,0.0560441492851892,0.0855747235951544,0.1198126817801443,0.02046605278526635,0.153342655945595,7.6627330589899e-05
0.11,0.024793035070211807,0.0227069012302962,0.022707034490755,0.08701942274223694,0.0860278297092525,0.1125922418179077,0.05407544061370978,0.0871309835495575,0.1200677383505061,0.02450492737291407,0.15211035929212247,8.519404633869675e-05
0.12,0.029183960775038605,0.0267092679265535,0.0267094669624179,0.08666666964959552,0.0864336691841127,0.111294715195297,0.05225988532852408,0.0884804225502998,0.1204409412240857,0.028789133633482504,0.15212592306189385,9.395632415586741e-05
0.13,0.0338394194829833,0.0309553916179223,0.0309556771955979,0.08634353873805248,0.086719457475997,0.1101017704627714,0.050593309641002816,0.0897003086962084,0.1209109745359882,0.0332857478364385,0.1530201514564811,0.00010288991471379489
0.14,0.03873141814622406,0.0354236393191311,0.0354240347319396,0.08605675844291091,0.0868877948811377,0.1089595887471408,0.0490689388341361,0.0908416058368754,0.12146320447415,0.037960904693585144,0.1545615945384134,0.00011196218130536412
0.15,0.043831628464864464,0.0400921282103437,0.04009265853166,0.08581072902149633,0.0869390920544697,0.1078315845797848,0.047679659733360434,0.0919390495457532,0.1220869751193372,0.04278170660786142,0.1565920271014987,0.00012113851351843447
0.16,0.04911172213900819,0.0449389269680174,0.0449396180893128,0.08560985073113433,0.0868732242933397,0.1066926629604056,0.04641835916411234,0.0930169429479185,0.1227740429888597,0.047717422451811195,0.15899531936978448,0.00013038572417529163
0.17,0.054543379389660106,0.0499422352151465,0.0499431109678084,0.08545851555384996,0.0867282424900799,0.1055257635805552,0.04527792985715815,0.0940926219557523,0.1234589703537168,0.05274009847589298,0.16168168318954218,0.00013967357939592852
0.18,0.06009953148877938,0.0550805407711316,0.0550815771820562,0.08535990048016315,0.0872331139529777,0.1043196891557403,0.044252131572265326,0.0951785947034819,0.1229562669806559,0.057824759607522536,0.16457924662016657,0.0001489752691879713
0.19,0.06575566781020352,0.0603327558182796,0.0603339644240529,0.08531469813171962,0.0873944454180791,0.1030676779345335,0.04333649693745151,0.0962838982610439,0.1227893077566469,0.06294936031575832,0.16762924035905336,0.00015826733345558424
0.2,0.07148759038351975,0.0656783341790951,0.0656797245408296,0.08532329748619377,0.0872716227640771,0.1017664186377186,0.04252677526383705,0.0974149787029802,0.1228971686455,0.06809460121300984,0.17078302527059014,0.0001675293474065969
0.21,0.07727110123831528,0.0710973725391922,0.0710989518292057,0.08538608752126006,0.0869119066426111,0.100415334031013,0.04181871586254234,0.0985762736287649,0.1232312783052479,0.07324368579741561,0.1740000955011098,0.00017674353202899574
0.22,0.08308200240417742,0.0765706986374129,0.0765724712727023,0.08550345721459289,0.0863538276038684,0.0990160307704131,0.04120806804468772,0.0997706055810403,0.123752034854616,0.07838206032037623,0.1772466264239442,0.00018589437151657204
0.23,0.08889609591069339,0.0820799492161576,0.0820819080472267,0.08567579554386673,0.0856853844316086,0.0975718544468261,0.04069058112139355,0.1009994541279391,0.1243151942893465,0.0834971594236355,0.1804943506287512,0.000194968272536067
0.24,0.09468919140302406,0.0876076399655038,0.0876097624201319,0.08590348958702869,0.0849808952362737,0.0960875133720878,0.04026200422201828,0.1022631501738568,0.1247836073518825,0.08857816840325672,0.1837196516918324,0.00020395327597448653
